% Italian verb lexicon for enclitic splitting and clitic deprel assignment.
%
% Extracted from the gold annotation of UD_Italian-ISDT (train+dev) and
% UD_Italian-PoSTWITA (train): every lemma of a VERB/AUX token, with the
% argument frames actually observed for it.
%
%   Obj   the lemma governs an obj  in the gold data
%   Iobj  the lemma governs an iobj in the gold data
%   Refl  the lemma governs an expl* (reflexive, impersonal or passive si)
%   Freq  occurrences as VERB/AUX, as a rough confidence weight
%
% The three frames are recorded separately on purpose. A single valency label
% would have to be arbitrary for most verbs, since Italian verbs freely combine
% frames (dare qc a qn, darsi, darne): 'yes' here means attested, never
% exclusive. Rules should therefore test the frame they need rather than a
% summary label, and treat a lemma with several 'yes' values as undecided.
%
% Used by: italian-isdt-ud.grs (clitic deprel assignment)
%          childes.py --verb_lexicon (licenses the enclitic split)
lemma	Obj	Iobj	Refl	Freq
pescare	no	no	yes	4
piacere	yes	yes	no	122
piangere	yes	yes	yes	36
piantare	yes	yes	yes	9
piazzare	yes	no	no	6
picchiare	yes	yes	no	6
piegare	yes	no	yes	6
pigliare	yes	yes	yes	2
piovere	no	no	no	16
pisciare	no	no	no	2
pizzicare	yes	no	no	2
placare	yes	no	no	2
plaudere	yes	no	no	2
polverizzare	yes	no	yes	2
pompare	yes	no	no	2
popolare	yes	no	no	2
porgere	yes	yes	yes	3
porre	yes	yes	yes	60
portare	yes	yes	yes	164
posare	no	no	yes	5
possedere	yes	no	no	22
postare	yes	no	yes	5
potenziare	yes	no	no	5
potere	yes	no	yes	1322
praticare	yes	no	yes	8
precedere	yes	no	no	11
precipitare	yes	no	no	5
precisare	yes	no	yes	9
predire	no	no	no	3
predisporre	yes	no	no	6
preferire	yes	no	yes	46
prefiggere	yes	no	yes	2
pregare	yes	yes	yes	19
pregiudicare	yes	no	no	10
premere	no	yes	no	3
premettere	no	no	no	3
premiare	yes	no	no	10
prendere	yes	yes	yes	203
prenotare	yes	no	yes	6
preoccupare	yes	yes	yes	17
preparare	yes	yes	yes	32
preporre	no	no	no	2
prescindere	no	no	no	5
prescrivere	yes	no	yes	15
presentare	yes	yes	yes	122
presentire	yes	no	yes	9
preservare	yes	no	no	4
presidiare	yes	no	no	2
presiedere	yes	no	no	6
pressare	no	no	yes	4
prestare	yes	yes	no	20
presumere	yes	no	yes	21
pretendere	yes	no	yes	9
prevalere	no	no	no	3
prevedere	yes	yes	yes	111
prevenire	yes	no	no	8
privare	yes	no	no	11
privatizzare	no	no	no	2
privilegiare	yes	no	no	2
procedere	no	no	yes	34
processare	yes	no	no	3
proclamare	yes	no	yes	17
procurare	yes	yes	no	9
produrre	yes	no	yes	82
professare	yes	no	no	2
profilare	no	no	yes	2
profondere	no	no	no	2
progettare	yes	no	yes	10
programmare	no	no	no	2
progredire	yes	no	no	5
proibire	no	no	no	7
proiettare	yes	no	yes	8
promettere	yes	yes	yes	21
promulgare	yes	no	no	9
promuovere	yes	yes	yes	43
pronunciare	yes	no	yes	15
propagare	no	no	yes	3
proporre	yes	yes	yes	58
propugnare	yes	no	no	2
prorogare	yes	no	no	4
proseguire	yes	no	no	14
proteggere	yes	no	no	23
protendere	no	no	yes	4
protestare	no	no	yes	16
protrarre	no	no	yes	3
provare	yes	yes	yes	42
provenire	no	no	no	24
provocare	yes	yes	no	25
provvedere	yes	yes	yes	28
pubblicare	yes	yes	no	66
pulire	yes	no	yes	5
pungere	yes	no	no	2
punire	yes	no	yes	8
puntare	yes	no	no	20
punteggiare	no	no	no	2
qualificare	no	no	yes	3
quantificare	yes	yes	no	3
querelare	yes	no	no	2
racchiudere	no	no	no	2
raccogliere	yes	yes	yes	28
raccomandare	yes	no	yes	5
raccontare	yes	yes	yes	48
raddoppiare	no	no	no	4
raffigurare	yes	no	no	4
rafforzare	yes	yes	yes	18
raggiungere	yes	no	yes	82
raggiuntare	yes	no	no	2
ragionare	no	no	yes	4
rallegrare	yes	no	yes	3
rallentare	yes	yes	no	5
rammaricare	no	no	yes	2
rammentare	yes	yes	no	4
rapinare	yes	no	no	3
rapire	yes	no	no	10
rappresentare	yes	no	no	99
rassegnare	yes	no	yes	5
rassicurare	yes	no	no	6
rassodare	yes	no	no	5
rastrellare	yes	no	no	2
ratificare	yes	no	no	8
ravvedere	no	no	yes	2
razzolare	no	no	no	2
reagire	no	no	no	11
realizzare	yes	no	no	57
recapitare	yes	yes	no	2
recare	yes	no	yes	30
recidere	no	no	yes	2
recitare	yes	no	no	24
reclamare	yes	no	no	4
reclutare	yes	no	no	2
recuperare	yes	no	no	15
redigere	yes	no	no	3
regalare	yes	yes	yes	22
reggere	yes	no	no	11
registrare	yes	no	yes	35
regnare	no	no	no	4
regolamentare	yes	no	no	2
regolare	yes	no	no	32
reintrodurre	yes	no	no	2
rendere	yes	yes	yes	125
replicare	no	no	no	5
reprimere	yes	no	no	2
reputare	yes	no	yes	4
resistere	no	no	no	15
respingere	yes	no	yes	8
respirare	yes	no	yes	9
restare	no	yes	yes	80
restaurare	yes	no	no	3
restituire	yes	yes	no	21
restringere	yes	no	yes	5
revocare	yes	no	no	5
riaccendere	yes	no	no	2
riadattare	yes	no	no	3
riaprire	yes	no	yes	11
riascoltare	yes	no	no	2
riassumere	yes	no	yes	2
riavere	yes	no	no	2
ribadire	yes	no	no	13
ribellare	no	no	yes	2
ricadere	no	no	no	3
ricamare	no	no	no	3
ricambiare	no	no	no	4
ricaricare	yes	no	yes	5
ricattare	yes	no	no	4
ricavare	yes	yes	yes	14
ricercare	yes	no	no	6
ricevere	yes	yes	yes	97
richiamare	yes	no	yes	9
richiedere	yes	yes	yes	54
riciclare	yes	no	yes	5
ricominciare	yes	no	no	4
ricomprendere	yes	no	no	2
ricondurre	no	no	no	2
riconfermare	no	no	no	2
riconoscere	yes	yes	yes	53
riconquistare	yes	no	no	5
ricoprire	yes	no	no	15
ricordare	yes	yes	yes	101
ricorrere	no	no	yes	17
ricostruire	yes	no	yes	12
ricoverare	no	no	no	6
ridare	yes	no	no	2
ridere	yes	no	yes	46
ridimensionare	yes	no	no	2
ridiscutere	yes	no	no	2
ridurre	yes	no	yes	58
riemergere	no	no	no	3
riempire	yes	no	yes	18
rientrare	no	no	no	20
riequilibrare	yes	no	no	2
riesaminare	yes	no	no	2
rifare	yes	yes	yes	7
riferire	yes	yes	yes	27
rifinire	no	no	no	2
rifiutare	yes	no	yes	21
riflettere	yes	yes	yes	21
rifondare	yes	no	no	3
riformare	yes	no	yes	2
rifugiare	no	no	yes	4
riguardare	yes	yes	yes	78
rilanciare	yes	no	no	9
rilasciare	yes	no	no	18
rilassare	no	no	yes	5
rilevare	yes	no	no	23
rimandare	yes	no	no	4
rimanere	yes	yes	yes	103
rimarcare	yes	no	no	2
rimborsare	yes	yes	no	9
rimettere	yes	no	yes	19
rimodellare	yes	no	yes	3
rimontare	no	no	no	5
rimpiangere	yes	no	no	4
rimpiazzare	yes	no	no	4
rimproverare	yes	no	yes	3
rimuovere	yes	no	no	12
rinascere	yes	no	no	2
rinchiudere	no	no	no	4
rincorrere	no	no	yes	2
rinforzare	yes	no	no	8
ringraziare	yes	no	no	16
rinnegare	yes	no	no	2
rinnovare	yes	no	no	4
rintracciare	no	no	no	2
rinunciare	no	no	yes	30
rinunziare	no	yes	no	7
rinviare	yes	no	no	4
ripagare	yes	no	no	4
riparare	yes	no	yes	11
ripartire	yes	no	yes	20
ripensare	yes	yes	yes	9
ripetere	yes	no	yes	33
riporre	yes	no	no	3
riportare	yes	yes	yes	27
riposare	no	no	yes	5
riprendere	yes	yes	yes	32
ripresentare	yes	no	no	2
ripristinare	yes	no	no	5
riprodurre	yes	yes	yes	5
riproporre	yes	no	no	4
ripulire	no	no	no	3
risalire	yes	no	no	7
risanare	yes	no	no	2
risarcire	yes	yes	no	4
riscaldare	yes	no	no	5
riscattare	yes	no	yes	3
rischiare	yes	no	no	38
riscontrare	no	no	no	2
riscoprire	yes	no	no	2
riscuotere	yes	no	no	7
risentire	no	no	yes	4
riservare	yes	yes	yes	20
risiedere	no	no	no	4
risolvere	yes	no	yes	30
risorgere	yes	no	no	5
risparmiare	yes	no	yes	11
rispecchiare	yes	no	no	7
rispettare	yes	yes	no	36
rispondere	no	yes	yes	73
rispostare	no	yes	no	4
ristabilire	yes	no	yes	5
ristrutturare	yes	no	no	2
risultare	yes	yes	no	50
ritardare	yes	yes	no	3
ritenere	yes	no	yes	62
ritirare	yes	no	yes	18
ritornare	no	no	yes	16
ritrarre	yes	no	yes	6
ritrasmettere	yes	no	no	2
ritrovare	yes	yes	yes	21
riunire	yes	no	yes	28
riuscire	yes	yes	yes	122
rivalutare	yes	no	no	2
rivedere	yes	no	yes	17
rivelare	yes	yes	yes	25
rivendicare	yes	no	no	12
riverberare	no	no	yes	2
rivestire	yes	no	no	5
rivivere	yes	no	no	2
rivolgere	yes	yes	yes	28
rivoltare	no	no	yes	3
romanizzare	no	no	no	2
rompere	yes	yes	yes	28
rotolare	no	no	no	2
rovesciare	yes	yes	no	6
rovinare	yes	yes	yes	12
rubare	yes	no	yes	15
ruotare	no	no	no	3
sabotare	yes	no	no	2
saccheggiare	no	no	no	2
sacrificare	yes	no	yes	4
salire	yes	no	yes	28
salpare	no	no	no	2
saltare	yes	yes	no	26
saltellare	no	no	no	2
salutare	yes	yes	yes	14
salvaguardare	yes	no	no	3
salvare	yes	yes	yes	49
sancire	yes	no	no	7
sapere	yes	yes	yes	274
saziare	yes	no	no	2
sbagliare	yes	no	yes	32
sballottare	no	no	no	2
sbancare	yes	no	no	2
sbandierare	yes	no	no	2
sbarcare	no	no	no	4
sbattere	yes	yes	yes	6
sbavare	no	no	yes	2
sbollire	yes	no	no	2
sbracare	no	no	no	2
sbraitare	no	no	no	2
sbriciolare	yes	no	no	2
scadere	yes	no	no	12
scaldare	no	no	yes	2
scambiare	yes	no	yes	7
scandalizzare	yes	yes	no	2
scannare	yes	no	yes	3
scappare	no	no	no	11
scarcerare	no	no	no	2
scaricare	yes	no	no	7
scartare	yes	no	no	4
scatenare	yes	no	yes	7
scattare	yes	no	no	12
scaturire	no	no	no	4
scavalcare	yes	no	yes	2
scavare	yes	yes	yes	7
scegliere	yes	no	yes	77
scemare	no	no	no	2
scendere	yes	yes	yes	37
scherzare	no	no	yes	17
schiacciare	yes	no	no	3
schiantare	no	no	yes	4
schierare	yes	no	yes	6
sciare	no	no	no	5
sciogliere	yes	no	no	11
sciupare	yes	no	no	2
scivolare	yes	yes	no	5
sclerare	no	no	no	2
scoccare	no	no	no	2
scolare	no	no	no	2
scolpire	no	no	no	2
scommettere	no	no	yes	13
scomparire	no	no	no	12
sconfiggere	yes	no	no	9
scongiurare	yes	yes	no	4
scontare	yes	no	no	3
scontrare	no	no	yes	5
scoppiare	yes	no	no	14
scoprire	yes	no	yes	49
scoraggiare	yes	no	no	3
scorrere	yes	no	no	8
scrivere	yes	yes	yes	172
scuotere	yes	no	no	5
scusare	yes	no	yes	24
sdraiare	no	no	yes	2
sedere	no	no	yes	17
segnalare	yes	no	yes	17
segnare	yes	no	no	25
seguire	yes	yes	yes	144
seguitare	no	no	no	2
selezionare	yes	no	no	2
sembrare	yes	yes	no	120
semplificare	yes	no	yes	5
sentenziare	no	no	no	3
sentire	yes	yes	yes	136
separare	yes	no	yes	10
seppellire	yes	yes	no	10
sequestrare	yes	no	no	7
servire	yes	yes	yes	94
sfasciare	yes	no	no	4
sfatare	yes	no	no	3
sfidare	yes	no	no	5
sfiduciare	yes	no	no	4
sfiorare	yes	yes	no	4
sfociare	no	no	no	6
sfoderare	yes	no	no	3
sfogare	no	no	yes	3
sfogliare	yes	no	no	3
sfondare	yes	no	no	2
sforzare	no	no	yes	3
sfracellare	yes	no	yes	3
sfruttare	yes	no	no	20
sfuggire	yes	yes	no	10
sganciare	yes	no	no	4
sgomberare	yes	no	no	2
sgombrare	yes	no	no	2
sgranare	yes	no	yes	2
shippare	yes	yes	no	2
sibilare	no	no	no	4
significare	yes	no	no	68
simboleggiare	yes	no	no	4
simulare	yes	no	no	2
sintetizzare	yes	no	no	5
sintonizzare	yes	yes	no	3
sistemare	yes	no	no	7
situare	no	no	no	17
slegare	no	no	yes	2
slittare	no	no	no	3
smantellare	yes	no	no	2
smarrire	yes	no	no	4
smascherare	yes	no	no	2
smentire	yes	no	no	9
smettere	yes	no	no	23
smontare	yes	no	no	2
smorzare	yes	no	yes	2
soccorrere	no	no	no	3
soddisfare	yes	yes	no	18
soffermare	no	no	yes	2
soffiare	no	no	no	4
soffocare	yes	no	no	5
soffrire	yes	no	no	20
soggiornare	no	no	no	3
sognare	yes	no	yes	13
solcare	yes	no	no	2
sollecitare	yes	yes	no	6
sollevare	yes	no	no	9
somigliare	no	yes	no	3
sommare	yes	no	no	3
sommergere	no	no	no	2
sondare	yes	no	no	2
sopportare	yes	yes	no	20
sopprimere	no	no	no	5
sopraelevare	yes	no	no	2
soprannominare	no	no	no	3
sopravvivere	no	no	yes	20
sorgere	yes	no	no	22
sormontare	no	no	no	3
sorpassare	yes	no	no	2
sorprendere	yes	yes	yes	15
sorreggere	no	no	no	2
sorridere	no	yes	no	15
sorvegliare	yes	no	no	3
sorvolare	yes	no	no	2
sospendere	yes	no	no	15
sospettare	no	no	yes	4
sostenere	yes	yes	yes	120
sostituire	yes	yes	yes	25
sotterrare	yes	no	no	2
sottintendere	yes	no	no	2
sottolineare	yes	no	yes	25
sottoporre	yes	yes	yes	35
sottoscrivere	yes	no	no	7
sottovalutare	yes	no	no	5
sottrarre	yes	yes	yes	7
sovrapporre	yes	no	yes	2
sovrastare	no	no	no	2
spaccare	yes	no	yes	13
spacciare	yes	no	yes	3
spalmare	yes	no	no	2
sparare	yes	yes	yes	24
sparere	yes	no	no	4
spargere	yes	no	yes	3
sparire	yes	no	no	13
spaventare	yes	no	no	4
spazzare	yes	no	no	8
spazzolare	yes	no	no	2
specializzare	no	no	yes	2
specificare	yes	no	no	10
speculare	no	no	no	2
spedire	yes	no	yes	8
spegnere	yes	no	yes	5
spendere	yes	no	no	13
spengere	yes	no	yes	5
sperare	yes	yes	yes	98
sperimentare	yes	no	no	3
spesare	yes	no	no	3
spettare	no	yes	no	32
spezzare	yes	no	yes	10
spiacere	no	yes	no	3
spianare	yes	no	no	3
spiare	yes	no	no	5
spiazzare	yes	no	no	2
spiegare	yes	yes	yes	79
spingere	yes	no	no	19
sporcare	yes	no	no	3
sposare	yes	no	yes	34
spostare	yes	no	yes	12
sprecare	yes	no	yes	7
spremere	yes	no	yes	2
spruzzare	yes	no	no	2
spuntare	yes	yes	no	7
sputtanare	no	no	no	2
squalificare	no	no	no	2
sradicare	yes	no	no	2
stabilire	yes	no	yes	149
stabilizzare	no	no	yes	2
staccare	yes	yes	yes	14
stampare	yes	yes	no	16
stancare	no	no	yes	3
stangare	yes	no	no	3
stanziare	yes	no	no	5
stare	yes	yes	yes	292
stemperare	yes	no	yes	2
stendere	yes	no	yes	8
stilare	yes	no	no	3
stimare	yes	no	no	10
stimolare	yes	no	no	5
stipulare	yes	no	no	9
strapazzare	yes	no	yes	3
strappare	yes	yes	yes	4
stravincere	yes	no	no	3
stressare	yes	no	no	2
stringere	yes	no	yes	8
strizzare	yes	no	no	2
strofinare	yes	no	no	2
stroncare	yes	no	no	2
studiare	yes	yes	yes	46
stupire	no	yes	yes	4
stuprare	yes	no	no	5
subentrare	no	no	no	2
subire	yes	yes	yes	22
subordinare	yes	no	no	2
succedere	no	yes	yes	40
succhiare	yes	no	no	4
sudare	yes	yes	no	2
suddividere	yes	no	yes	3
suggerire	yes	yes	no	14
suicidare	no	no	yes	10
suonare	yes	no	no	18
superare	yes	no	yes	50
supporre	yes	no	no	2
surrogare	yes	no	no	3
suscitare	yes	no	no	2
sussistere	no	no	no	3
sussurrare	no	no	no	3
svanire	no	no	no	2
svegliare	yes	yes	yes	9
svegliere	yes	yes	no	6
svelare	yes	yes	no	9
sviluppare	yes	no	yes	19
svolgere	yes	no	yes	54
svuotare	yes	no	yes	5
tacere	yes	no	no	4
tagliare	yes	yes	yes	37
tamponare	yes	no	no	3
targare	no	no	no	3
tassare	yes	no	no	13
telefonare	yes	yes	no	10
temere	yes	yes	yes	28
tendere	yes	no	yes	18
tenere	yes	yes	yes	188
tentare	yes	no	yes	32
terminare	yes	no	no	9
terrorizzare	yes	no	no	4
tessere	yes	no	yes	4
testare	yes	no	no	3
testimoniare	yes	no	no	3
tifare	yes	no	yes	5
tingere	yes	no	yes	2
tirare	yes	yes	yes	18
titolare	no	no	no	3
toccare	yes	yes	yes	48
togliere	yes	yes	yes	46
tollerare	yes	no	yes	4
tonificare	yes	no	no	3
tormentare	yes	yes	no	2
tornare	yes	no	yes	104
tradire	yes	no	no	8
tradurre	yes	no	yes	16
traghettare	yes	no	yes	2
trainare	no	no	no	2
tranquillizzare	yes	yes	no	2
transitare	no	no	no	2
trapiantare	no	no	no	3
trarre	yes	yes	no	17
trascinare	yes	no	yes	5
trascorrere	yes	no	no	25
trascurare	yes	no	no	2
trasferire	yes	yes	yes	34
trasformare	yes	no	yes	33
trasmettere	yes	no	yes	29
trasporre	yes	no	no	2
trasportare	yes	no	no	17
trattare	yes	yes	yes	93
trattenere	yes	no	yes	6
travestire	yes	no	yes	2
travolgere	yes	no	no	7
tremare	no	no	yes	9
tributare	yes	yes	no	2
tritare	yes	no	no	2
trovare	yes	yes	yes	312
truccare	yes	no	yes	4
trucidare	yes	no	no	4
truffare	yes	no	no	2
turbare	yes	no	no	2
tutelare	yes	no	no	16
twittare	yes	no	no	4
uccidere	yes	yes	yes	60
udire	yes	no	yes	3
ultimare	no	no	no	2
unfolloware	no	no	no	2
unire	yes	no	yes	27
urlare	no	no	no	8
usare	yes	yes	yes	123
uscire	yes	yes	yes	105
usufruire	no	no	no	2
utilizzare	yes	no	yes	76
valere	yes	yes	yes	35
valorizzare	yes	yes	yes	4
valutare	yes	no	yes	31
vanificare	yes	no	no	2
vantare	yes	no	yes	6
varare	yes	no	no	10
variare	yes	yes	yes	14
vedere	yes	yes	yes	600
venare	yes	no	no	2
vendere	yes	no	yes	53
vendicare	no	no	yes	3
venire	yes	yes	yes	502
vergognare	no	yes	yes	5
verificare	yes	no	yes	41
versare	yes	yes	no	13
vestire	yes	no	no	8
viaggiare	no	no	no	19
vietare	yes	no	no	22
vigere	no	no	no	4
vigilare	no	no	no	3
vincere	yes	no	no	169
vincire	yes	no	no	8
vincolare	no	yes	no	4
violare	yes	no	no	8
violentare	yes	no	no	6
visitare	yes	no	no	17
visualizzare	yes	no	no	6
vivere	yes	yes	yes	103
volare	no	no	no	19
volere	yes	yes	yes	473
volgere	yes	no	no	14
voltare	yes	yes	yes	3
votare	yes	yes	yes	100
